direction,other_agency,other_city,other_state,evidence_portal
Chicago can access data from,Inverness IL PD,Inverness,IL,https://transparency.flocksafety.com/inverness-il-pd
Chicago can access data from,Inverness IL PD,Inverness,IL,https://transparency.flocksafety.com/inverness-il-pd
Chicago can access data from,Inverness IL PD,Inverness,IL,https://transparency.flocksafety.com/inverness-il-pd
Chicago can access data from,Inverness IL PD,Inverness,IL,https://transparency.flocksafety.com/inverness-il-pd
Chicago can access data from,Junction City KS PD,Junction City,KS,https://transparency.flocksafety.com/junction-city-ks-pd
Chicago can access data from,Kane County IL SO,Kane County,IL,https://transparency.flocksafety.com/kane-county-il-so
Chicago can access data from,Kane County IL SO,Kane County,IL,https://transparency.flocksafety.com/kane-county-il-so
Chicago can access data from,Kane County IL SO,Kane County,IL,https://transparency.flocksafety.com/kane-county-il-so
Chicago can access data from,Kane County IL SO,Kane County,IL,https://transparency.flocksafety.com/kane-county-il-so
Chicago can access data from,Kane County IL SO,Kane County,IL,https://transparency.flocksafety.com/kane-county-il-so
Chicago can access data from,Kildeer IL PD,Kildeer,IL,https://transparency.flocksafety.com/kildeer-il-pd
Chicago can access data from,Kildeer IL PD,Kildeer,IL,https://transparency.flocksafety.com/kildeer-il-pd
